SenIP,SenR,SenDFL,SenIPFirst,SenRFirst,SenDFLFirst
2,20,4,2,2,4
0,17,6,0,1,6
9,11,233,9,1,2
12,172,152,1,1,1
1,7,11,1,7,1
6,12,349,6,1,3
6,6,278,6,6,2
4,0,218,4,0,2
2,41,53,2,4,5
1,43,14,1,4,1
1,7,12,1,7,1
1,21,13,1,2,1
4,13,12,4,1,1
1,10,7,1,1,7
4,44,44,4,4,4
4,100,28,4,1,2
1,32,14,1,3,1
6,98,231,6,9,2
3,36,30,3,3,3
21,346,311,2,3,3
1,21,25,1,2,2
11,281,312,1,2,3
0,3,9,0,3,9
0,2,10,0,2,1
1,22,44,1,2,4
1,25,25,1,2,2
5,28,38,5,2,3
0,13,15,0,1,1
17,154,151,1,1,1
29,415,375,2,4,3
4,33,45,4,3,4
13,206,121,1,2,1
2,218,109,2,2,1
7,138,80,7,1,8
12,167,102,1,1,1
13,261,147,1,2,1
15,182,154,1,1,1
19,177,183,1,1,1
24,415,289,2,4,2
0,2,3,0,2,3
24,249,220,2,2,2
0,0,0,0,0,0
21,298,263,2,2,2
26,211,373,2,2,3
16,90,196,1,9,1
18,302,178,1,3,1
18,306,325,1,3,3
30,360,358,3,3,3
33,369,370,3,3,3
27,551,501,2,5,5
24,313,333,2,3,3
34,421,360,3,4,3
0,0,0,0,0,0
11,121,107,1,1,1
45,606,534,4,6,5
2,20,48,2,2,4
2,15,30,2,1,3
1,9,28,1,9,2
0,3,7,0,3,7
7,75,64,7,7,6
1,20,50,1,2,5
5,24,47,5,2,4
7,41,98,7,4,9
1,1,6,1,1,6
3,21,47,3,2,4
5,86,162,5,8,1
0,15,26,0,1,2
0,4,5,0,4,5
0,17,17,0,1,1
0,23,20,0,2,2
2,20,23,2,2,2
3,31,26,3,3,2
21,223,230,2,2,2
7,138,130,7,1,1
1,23,17,1,2,1
0,9,21,0,9,2
4,22,56,4,2,5
0,11,8,0,1,8
8,73,67,8,7,6
6,79,63,6,7,6
6,63,62,6,6,6
4,47,72,4,4,7
5,37,21,5,3,2
7,43,59,7,4,5
12,238,180,1,2,1
29,379,383,2,3,3
8,149,136,8,1,1
10,86,132,1,8,1
8,131,128,8,1,1
11,111,119,1,1,1
29,317,496,2,3,4
16,117,125,1,1,1
16,213,150,1,2,1
1,53,28,1,5,2
2,71,49,2,7,4
3,73,94,3,7,9
15,149,224,1,1,2
10,117,222,1,1,2
5,34,57,5,3,5
21,199,337,2,1,3
8,91,215,8,9,2
8,88,169,8,8,1
23,197,268,2,1,2
11,144,229,1,1,2
21,362,377,2,3,3
13,229,398,1,2,3
18,175,503,1,1,5
24,280,422,2,2,4
20,259,441,2,2,4
14,205,299,1,2,2
7,163,269,7,1,2
26,467,700,2,4,7
51,573,1104,5,5,1
19,337,379,1,3,3
6,63,73,6,6,7
0,59,40,0,5,4
18,377,360,1,3,3
28,255,307,2,2,3
3,67,43,3,6,4
5,66,39,5,6,3
0,3,0,0,3,0
0,1,0,0,1,0
1,32,35,1,3,3
3,59,33,3,5,3
18,247,228,1,2,2
13,115,161,1,1,1
2,62,50,2,6,5
2,61,85,2,6,8
16,211,262,1,2,2
5,64,55,5,6,5
6,52,63,6,5,6
5,51,55,5,5,5
6,71,31,6,7,3
3,58,33,3,5,3
4,56,34,4,5,3
4,0,5,4,0,5
4,42,71,4,4,7
21,180,147,2,1,1
5,75,28,5,7,2
1,15,14,1,1,1
10,36,86,1,3,8
3,159,61,3,1,6
0,64,65,0,6,6
9,64,32,9,6,3
3,54,54,3,5,5
12,171,140,1,1,1
1,42,33,1,4,3
15,195,244,1,1,2
22,279,372,2,2,3
18,271,300,1,2,3
16,188,241,1,1,2
16,415,408,1,4,4
21,224,322,2,2,3
13,373,369,1,3,3
13,338,293,1,3,2
3,64,26,3,6,2
3,87,31,3,8,3
2,85,76,2,8,7
12,217,193,1,2,1
15,367,224,1,3,2
10,166,143,1,1,1
11,186,148,1,1,1
6,82,26,6,8,2
2,33,20,2,3,2
10,73,94,1,7,9
5,20,37,5,2,3
8,50,127,8,5,1
10,177,310,1,1,3
1,28,28,1,2,2
9,150,254,9,1,2
5,85,184,5,8,1
15,389,685,1,3,6
13,195,476,1,1,4
18,195,545,1,1,5
22,266,504,2,2,5
11,312,488,1,3,4
2,16,155,2,1,1
1,25,31,1,2,3
4,18,38,4,1,3
1,24,55,1,2,5
4,98,130,4,9,1
4,41,52,4,4,5
6,66,73,6,6,7
3,19,48,3,1,4
2,31,50,2,3,5
9,98,166,9,9,1
26,176,488,2,1,4
13,179,294,1,1,2
0,0,6,0,0,6
9,96,277,9,9,2
4,42,50,4,4,5
4,34,76,4,3,7
14,109,265,1,1,2
6,120,152,6,1,1
12,85,139,1,8,1
11,56,116,1,5,1
1,26,52,1,2,5
0,18,65,0,1,6
